cv_index,cv_position,rank,job_index,job_position,job_company,job_location,cosine_score
12,Machine Learning (ML) Engineer,9,181,"Data Scientist, Artificial Intelligence Engineer",Darwin Recruitment,"Boston, MA",0.5816
12,Machine Learning (ML) Engineer,10,122,"Data Analyst, Business Operations",DataRobot,"Boston, MA 02109",0.5789
13,Mechanical Designer,1,185,AI Research in Machine Learning(ML),JD.com,"Mountain View, CA",0.6121
13,Mechanical Designer,2,117,Machine Learning Eng Amazon AI,Amazon.com,"Seattle, WA",0.5918
13,Mechanical Designer,3,70,Sr. Software Engineer - Machine Learning,Vulcan Inc.,"Seattle, WA",0.5835
13,Mechanical Designer,4,52,Principal Machine / Deep Learning Scientist,JD.com,"Mountain View, CA",0.5708
13,Mechanical Designer,5,109,NLP Engineer,UniBit Inc.,"Boston, MA",0.5703
13,Mechanical Designer,6,8,18009346 - Mgr/Sr. Mgr - Data Scientist - Customer Data Science,American Express,"New York, NY",0.5555
13,Mechanical Designer,7,25,Data Scientist,Internet Brands,"Los Angeles, CA",0.5444
13,Mechanical Designer,8,88,Sales Engineer,Anaconda,"Austin, TX",0.5317
13,Mechanical Designer,9,177,Data Scientist,Kemper Corporation,"Chicago, IL",0.5292
13,Mechanical Designer,10,195,"Research Scientist, Machine Learning and Intelligence",Google,"Mountain View, CA",0.5267
14,Mechanical Engineer,1,167,Senior Mobile Developer (React Native),R/GA,"Austin, TX",0.6336
14,Mechanical Engineer,2,125,Senior Front-End Engineer,Usermind,"Seattle, WA",0.4978
14,Mechanical Engineer,3,51,IoT Intern (Computer Science/Electrical Engineering),Delos,"New York, NY 10014 ",0.4365
14,Mechanical Engineer,4,96,Sr. Software Development Manager,Amazon.com,"Seattle, WA",0.4362
14,Mechanical Engineer,5,158,Lead Data Engineer,TARGET,"Sunnyvale, CA",0.4304
14,Mechanical Engineer,6,123,Research Intern - Systems,Microsoft,"Redmond, WA 98052",0.4256
14,Mechanical Engineer,7,5,Senior Architect 1,Nielsen,"Chicago, IL 60647",0.4238
14,Mechanical Engineer,8,49,Engineering Leadership - Data Engineering,Riot Games,"Los Angeles, CA",0.4216
14,Mechanical Engineer,9,64,Data Engineer,Workbridge Associates,"Mountain View, CA",0.4204
14,Mechanical Engineer,10,13,Networks Technology Strategy and Partnerships Manager,Samsung Research America,"Mountain View, CA",0.4121
15,Database Administrator (DBA),1,139,Machine Learning Data Scientist-Equity Investment Research,Analytic Recruiting,"New York, NY 10017 ",0.5834
15,Database Administrator (DBA),2,124,"Technical Evangelist – Database, Analytics, and Machine Learning",Amazon.com,"Atlanta, GA",0.5768
15,Database Administrator (DBA),3,87,"Data Scientist, Insights Team (Siri Search and Knowledge)",Apple,"San Francisco, CA 94114",0.5537
15,Database Administrator (DBA),4,177,Data Scientist,Kemper Corporation,"Chicago, IL",0.5296
15,Database Administrator (DBA),5,181,"Data Scientist, Artificial Intelligence Engineer",Darwin Recruitment,"Boston, MA",0.5222
15,Database Administrator (DBA),6,64,Data Engineer,Workbridge Associates,"Mountain View, CA",0.5116
15,Database Administrator (DBA),7,25,Data Scientist,Internet Brands,"Los Angeles, CA",0.5039
15,Database Administrator (DBA),8,193,Senior Data Scientist,Castlight Health,"San Francisco, CA 94105",0.5026
15,Database Administrator (DBA),9,74,Data Scientist,Diverse Lynx,"Redmond, WA",0.5007
15,Database Administrator (DBA),10,88,Sales Engineer,Anaconda,"Austin, TX",0.4933
