cv_index,cv_position,rank,job_index,job_position,job_company,job_location,cosine_score
16,"System Administrator (Operation & Maintenance of Server, Storage & Service Desk System)",6,230,Data & Applied Scientist II,Microsoft,"Cambridge, MA",0.4722
16,"System Administrator (Operation & Maintenance of Server, Storage & Service Desk System)",7,261,Senior Operations Research Analyst,Wayfair,"Boston, MA 02116",0.4698
16,"System Administrator (Operation & Maintenance of Server, Storage & Service Desk System)",8,399,Operations Research Analyst,Grant Thornton,"Washington, DC 20036",0.4696
16,"System Administrator (Operation & Maintenance of Server, Storage & Service Desk System)",9,266,Backend Data Engineer,Tier1 IT,"New York, NY",0.4694
16,"System Administrator (Operation & Maintenance of Server, Storage & Service Desk System)",10,308,BIG DATA TECHNICAL LEAD,TransUnion,"Chicago, IL 60661",0.4686
17,"Executive/ Senior Executive- Trade Marketing, Hygiene Products",1,185,AI Research in Machine Learning(ML),JD.com,"Mountain View, CA",0.6271
17,"Executive/ Senior Executive- Trade Marketing, Hygiene Products",2,376,Data Scientist.,Lorven Technologies,"New York, NY",0.6018
17,"Executive/ Senior Executive- Trade Marketing, Hygiene Products",3,374,Sr Deep Learning Software Engineer,NVIDIA,"Boulder, CO 80302",0.5632
17,"Executive/ Senior Executive- Trade Marketing, Hygiene Products",4,181,"Data Scientist, Artificial Intelligence Engineer",Darwin Recruitment,"Boston, MA",0.5547
17,"Executive/ Senior Executive- Trade Marketing, Hygiene Products",5,220,"Software Engineer, Machine Learning",Google,"San Francisco, CA",0.5522
17,"Executive/ Senior Executive- Trade Marketing, Hygiene Products",6,70,Sr. Software Engineer - Machine Learning,Vulcan Inc.,"Seattle, WA",0.5512
17,"Executive/ Senior Executive- Trade Marketing, Hygiene Products",7,301,"Staff Engineer, Machine Learning (macys.com)",Macy's,"San Francisco, CA",0.5468
17,"Executive/ Senior Executive- Trade Marketing, Hygiene Products",8,52,Principal Machine / Deep Learning Scientist,JD.com,"Mountain View, CA",0.5455
17,"Executive/ Senior Executive- Trade Marketing, Hygiene Products",9,233,Research Scientist - Deep Learning,CuraCloud Corporation,"Seattle, WA 98104",0.5379
17,"Executive/ Senior Executive- Trade Marketing, Hygiene Products",10,377,"Director Software Development, Deep Learning",Amazon.com,"Seattle, WA",0.5285
18,Project Coordinator (Civil),1,167,Senior Mobile Developer (React Native),R/GA,"Austin, TX",0.621
18,Project Coordinator (Civil),2,339,Software Engineer - Android,Quora,"Mountain View, CA",0.5913
18,Project Coordinator (Civil),3,125,Senior Front-End Engineer,Usermind,"Seattle, WA",0.5034
18,Project Coordinator (Civil),4,322,"Software Engineer, Computational Photography",Google,"Mountain View, CA",0.4942
18,Project Coordinator (Civil),5,308,BIG DATA TECHNICAL LEAD,TransUnion,"Chicago, IL 60661",0.4706
18,Project Coordinator (Civil),6,387,Undergraduate Internship/Co-op Program - Data Scientist,Central Intelligence Agency,"Washington, DC",0.4684
18,Project Coordinator (Civil),7,254,Senior Developer,J.E. Ranta Associates,"Boston, MA 02110",0.4674
18,Project Coordinator (Civil),8,158,Lead Data Engineer,TARGET,"Sunnyvale, CA",0.4649
18,Project Coordinator (Civil),9,96,Sr. Software Development Manager,Amazon.com,"Seattle, WA",0.4526
18,Project Coordinator (Civil),10,310,"Principal Software Engineer, Azure Databricks",Microsoft,"Redmond, WA 98052",0.4513
19,Executive/ Sr. Executive -IT,1,376,Data Scientist.,Lorven Technologies,"New York, NY",0.5998
19,Executive/ Sr. Executive -IT,2,185,AI Research in Machine Learning(ML),JD.com,"Mountain View, CA",0.5209
19,Executive/ Sr. Executive -IT,3,139,Machine Learning Data Scientist-Equity Investment Research,Analytic Recruiting,"New York, NY 10017 ",0.5199
19,Executive/ Sr. Executive -IT,4,230,Data & Applied Scientist II,Microsoft,"Cambridge, MA",0.5048
19,Executive/ Sr. Executive -IT,5,25,Data Scientist,Internet Brands,"Los Angeles, CA",0.5042
19,Executive/ Sr. Executive -IT,6,87,"Data Scientist, Insights Team (Siri Search and Knowledge)",Apple,"San Francisco, CA 94114",0.5038
19,Executive/ Sr. Executive -IT,7,229,"Director, Data Science",84.51°,"Chicago, IL",0.5018
19,Executive/ Sr. Executive -IT,8,70,Sr. Software Engineer - Machine Learning,Vulcan Inc.,"Seattle, WA",0.5008
19,Executive/ Sr. Executive -IT,9,193,Senior Data Scientist,Castlight Health,"San Francisco, CA 94105",0.4921
19,Executive/ Sr. Executive -IT,10,336,"Data Scientist, Machine Learning & AI",Etsy,"Brooklyn, NY",0.4831
20,Mechanical Engineer,1,371,Sales Director - Federal,Zoomdata,"Washington, DC",0.4533
20,Mechanical Engineer,2,373,Data Scientist,Inspire Brands,"Atlanta, GA",0.4433
20,Mechanical Engineer,3,69,Business Intelligence Research Analyst,Group One Trading,"New York, NY",0.4405
20,Mechanical Engineer,4,297,Validated Business Systems Analyst,HawkinsPointPartners,"Cambridge, MA 02138",0.4257
20,Mechanical Engineer,5,282,"Director, Data Science",Capital One,"New York, NY 10261",0.4236
20,Mechanical Engineer,6,14,CIB Chief Data Science Office-Data Scientist – VP - New York,JP Morgan Chase,"New York, NY 10179 ",0.4234
20,Mechanical Engineer,7,395,"Sr. Manager , Data Science Forecasting",Newell Brands,"Atlanta, GA",0.4213
20,Mechanical Engineer,8,274,Senior Data Scientist,Prudential,"Newark, NJ",0.421
20,Mechanical Engineer,9,238,Quantitative Analyst,BMO Financial Group,"Chicago, IL",0.4152
20,Mechanical Engineer,10,68,Sr Quantitative Finance Analyst,Bank of America,"San Francisco, CA 94104",0.4119
21,Network Support Engineer,1,156,Operations Research and Risk Analyst,Systems Planning and Analysis,"San Diego, CA",0.5375
21,Network Support Engineer,2,361,Data Engineer,Gallup,"Atlanta, GA",0.531
21,Network Support Engineer,3,362,Data Scientist I,Carney,"Washington, DC",0.529
21,Network Support Engineer,4,151,Laboratory Informatics Specialist,Natera,"San Carlos, CA 94070",0.5175
21,Network Support Engineer,5,220,"Software Engineer, Machine Learning",Google,"San Francisco, CA",0.5173
21,Network Support Engineer,6,64,Data Engineer,Workbridge Associates,"Mountain View, CA",0.5126
21,Network Support Engineer,7,20,Data Science Fellow,Øptimus Consulting,"Washington, DC 20005",0.5104
21,Network Support Engineer,8,392,Sr. Principal Data Scientist - Advanced Research & Analytics,UnitedHealth Group,"Chicago, IL 60290",0.5095
21,Network Support Engineer,9,58,"Staffing Services Specialist, Hiring Committee Training",Google,"Mountain View, CA",0.5087
21,Network Support Engineer,10,177,Data Scientist,Kemper Corporation,"Chicago, IL",0.5086
22,"Executive/ Senior Executive- Trade Marketing, Hygiene Products",1,377,"Director Software Development, Deep Learning",Amazon.com,"Seattle, WA",0.6893
22,"Executive/ Senior Executive- Trade Marketing, Hygiene Products",2,386,"Machine Learning Engineer – Build large, Cloud based ML systems",Camden Kelly Corporation,"Los Angeles, CA",0.6726
22,"Executive/ Senior Executive- Trade Marketing, Hygiene Products",3,336,"Data Scientist, Machine Learning & AI",Etsy,"Brooklyn, NY",0.6722
22,"Executive/ Senior Executive- Trade Marketing, Hygiene Products",4,250,Senior Software Engineer,BlackLocus,"Austin, TX 78701",0.6705
22,"Executive/ Senior Executive- Trade Marketing, Hygiene Products",5,376,Data Scientist.,Lorven Technologies,"New York, NY",0.6658
22,"Executive/ Senior Executive- Trade Marketing, Hygiene Products",6,220,"Software Engineer, Machine Learning",Google,"San Francisco, CA",0.6549
22,"Executive/ Senior Executive- Trade Marketing, Hygiene Products",7,263,"Sr. Product Manager - Technical, Home Innovation",Amazon.com,"Seattle, WA",0.6514
22,"Executive/ Senior Executive- Trade Marketing, Hygiene Products",8,301,"Staff Engineer, Machine Learning (macys.com)",Macy's,"San Francisco, CA",0.6492
22,"Executive/ Senior Executive- Trade Marketing, Hygiene Products",9,25,Data Scientist,Internet Brands,"Los Angeles, CA",0.645
22,"Executive/ Senior Executive- Trade Marketing, Hygiene Products",10,229,"Director, Data Science",84.51°,"Chicago, IL",0.6381
23,Intern (Generative AI Engineering - 2D/3D Image Generation),1,156,Operations Research and Risk Analyst,Systems Planning and Analysis,"San Diego, CA",0.5266
23,Intern (Generative AI Engineering - 2D/3D Image Generation),2,357,Industrial Operations Manager (663748),Ball Aerospace,"Boulder, CO",0.5254
23,Intern (Generative AI Engineering - 2D/3D Image Generation),3,247,Sr. Staff Process Engineer,Illumina,"San Diego, CA",0.5154
23,Intern (Generative AI Engineering - 2D/3D Image Generation),4,151,Laboratory Informatics Specialist,Natera,"San Carlos, CA 94070",0.5147
23,Intern (Generative AI Engineering - 2D/3D Image Generation),5,58,"Staffing Services Specialist, Hiring Committee Training",Google,"Mountain View, CA",0.4901
23,Intern (Generative AI Engineering - 2D/3D Image Generation),6,93,Environmental Scientist,Eagle SNG,"Parsippany, NJ",0.4755
23,Intern (Generative AI Engineering - 2D/3D Image Generation),7,154,Automation Engineer,Zymergen,"Emeryville, CA 94608",0.4731
23,Intern (Generative AI Engineering - 2D/3D Image Generation),8,184,Water Resources Engineer 5,CDM Smith,"Austin, TX 78727",0.4697
23,Intern (Generative AI Engineering - 2D/3D Image Generation),9,177,Data Scientist,Kemper Corporation,"Chicago, IL",0.4639
23,Intern (Generative AI Engineering - 2D/3D Image Generation),10,261,Senior Operations Research Analyst,Wayfair,"Boston, MA 02116",0.4608
24,Executive - VAT,1,312,Data Scientist II,Elevate,"San Diego, CA",0.6046
24,Executive - VAT,2,74,Data Scientist,Diverse Lynx,"Redmond, WA",0.5997
24,Executive - VAT,3,25,Data Scientist,Internet Brands,"Los Angeles, CA",0.5858
